Language_Code,Language_Name,ISO_Code,Language_Script,sentences
ace_Arab,Acehnese (Arabic script),ace,Arab,1193.0
ace_Latn,Acehnese (Latin script),ace,Latn,1193.0
acm_Arab,Mesopotamian Arabic,acm,Arab,1137.0
acq_Arab,Ta’izzi-Adeni Arabic,acq,Arab,1131.0
aeb_Arab,Tunisian Arabic,aeb,Arab,1127.0
afr_Latn,Afrikaans,afr,Latn,1188.0
ajp_Arab,South Levantine Arabic,ajp,Arab,1163.0
aka_Latn,Akan,aka,Latn,1208.0
amh_Ethi,Amharic,amh,Ethi,58.0
apc_Arab,North Levantine Arabic,apc,Arab,1150.0
arb_Arab,Modern Standard Arabic,arb,Arab,1148.0
arb_Latn,Modern Standard Arabic (Romanized),arb,Latn,1148.0
ars_Arab,Najdi Arabic,ars,Arab,1141.0
ary_Arab,Moroccan Arabic,ary,Arab,1144.0
arz_Arab,Egyptian Arabic,arz,Arab,1125.0
asm_Beng,Assamese,asm,Beng,50.0
ast_Latn,Asturian,ast,Latn,1201.0
awa_Deva,Awadhi,awa,Deva,42.0
ayr_Latn,Central Aymara,ayr,Latn,1171.0
azb_Arab,South Azerbaijani,azb,Arab,1163.0
azj_Latn,North Azerbaijani,azj,Latn,1165.0
bak_Cyrl,Bashkir,bak,Cyrl,1175.0
bam_Latn,Bambara,bam,Latn,1155.0
ban_Latn,Balinese,ban,Latn,1143.0
bel_Cyrl,Belarusian,bel,Cyrl,1378.0
bem_Latn,Bemba,bem,Latn,1193.0
ben_Beng,Bengali,ben,Beng,43.0
bho_Deva,Bhojpuri,bho,Deva,983.0
bjn_Arab,Banjar (Arabic script),bjn,Arab,1179.0
bjn_Latn,Banjar (Latin script),bjn,Latn,1179.0
bod_Tibt,Standard Tibetan,bod,Tibt,23.0
bos_Latn,Bosnian,bos,Latn,1312.0
bug_Latn,Buginese,bug,Latn,1220.0
bul_Cyrl,Bulgarian,bul,Cyrl,1247.0
cat_Latn,Catalan,cat,Latn,1203.0
ceb_Latn,Cebuano,ceb,Latn,1186.0
ces_Latn,Czech,ces,Latn,1265.0
cjk_Latn,Chokwe,cjk,Latn,1178.0
ckb_Arab,Central Kurdish,ckb,Arab,1146.0
crh_Latn,Crimean Tatar,crh,Latn,1177.0
cym_Latn,Welsh,cym,Latn,1182.0
dan_Latn,Danish,dan,Latn,1292.0
deu_Latn,German,deu,Latn,1300.0
dik_Latn,Southwestern Dinka,dik,Latn,1111.0
dyu_Latn,Dyula,dyu,Latn,1198.0
dzo_Tibt,Dzongkha,dzo,Tibt,17.0
ell_Grek,Greek,ell,Grek,1218.0
eng_Latn,English,eng,Latn,1211.0
epo_Latn,Esperanto,epo,Latn,1173.0
est_Latn,Estonian,est,Latn,1258.0
eus_Latn,Basque,eus,Latn,1257.0
ewe_Latn,Ewe,ewe,Latn,972.0
fao_Latn,Faroese,fao,Latn,1290.0
fij_Latn,Fijian,fij,Latn,1193.0
fin_Latn,Finnish,fin,Latn,1278.0
fon_Latn,Fon,fon,Latn,1199.0
fra_Latn,French,fra,Latn,1170.0
fur_Latn,Friulian,fur,Latn,1197.0
fuv_Latn,Nigerian Fulfulde,fuv,Latn,1152.0
