Language_Code,Language_Name,ISO_Code,Language_Script,sentences,LLaMA 2_Token_Count,LLaMA 3_Token_Count,Aya_Token_Count,GPT-4o_Token_Count,Gemma-2b_Token_Count,LLaMA 2_Token_Count_Per_Sentence,LLaMA 3_Token_Count_Per_Sentence,Aya_Token_Count_Per_Sentence,GPT-4o_Token_Count_Per_Sentence,Gemma-2b_Token_Count_Per_Sentence
ace_Arab,Acehnese (Arabic script),ace,Arab,1012.0,60430.0,53582.0,49956.0,48788.0,50168.0,59.71343873517787,52.94664031620553,49.36363636363637,48.209486166007906,49.573122529644266
ace_Latn,Acehnese (Latin script),ace,Latn,1012.0,60430.0,53582.0,49956.0,48788.0,50168.0,59.71343873517787,52.94664031620553,49.36363636363637,48.209486166007906,49.573122529644266
acm_Arab,Mesopotamian Arabic,acm,Arab,1012.0,103653.0,44665.0,40698.0,37105.0,40593.0,102.42391304347827,44.13537549407115,40.215415019762844,36.66501976284585,40.11166007905138
acq_Arab,Ta’izzi-Adeni Arabic,acq,Arab,1012.0,105214.0,44949.0,40906.0,37357.0,40779.0,103.96640316205534,44.41600790513834,40.42094861660079,36.91403162055336,40.29545454545455
aeb_Arab,Tunisian Arabic,aeb,Arab,1012.0,102798.0,44871.0,41522.0,38188.0,41188.0,101.5790513833992,44.33893280632411,41.0296442687747,37.73517786561265,40.69960474308301
afr_Latn,Afrikaans,afr,Latn,1012.0,49472.0,45685.0,41449.0,38367.0,42236.0,48.88537549407115,45.14328063241107,40.95750988142292,37.91205533596838,41.73517786561265
ajp_Arab,South Levantine Arabic,ajp,Arab,1012.0,99574.0,42765.0,39268.0,36027.0,38755.0,98.39328063241106,42.25790513833992,38.80237154150198,35.5998023715415,38.29545454545455
aka_Latn,Akan,aka,Latn,1012.0,69837.0,73033.0,63813.0,56050.0,60744.0,69.0088932806324,72.16699604743083,63.05632411067194,55.38537549407115,60.023715415019765
amh_Ethi,Amharic,amh,Ethi,1012.0,225797.0,207123.0,171381.0,156284.0,53565.0,223.1195652173913,204.66699604743084,169.348814229249,154.4308300395257,52.9298418972332
apc_Arab,North Levantine Arabic,apc,Arab,1012.0,98869.0,43095.0,39728.0,36164.0,39318.0,97.69664031620553,42.58399209486166,39.25691699604743,35.73517786561265,38.851778656126484
arb_Arab,Modern Standard Arabic,arb,Arab,1012.0,73135.0,65943.0,64145.0,60552.0,63689.0,72.26778656126483,65.16106719367589,63.384387351778656,59.83399209486166,62.933794466403164
arb_Latn,Modern Standard Arabic (Romanized),arb,Latn,1012.0,73135.0,65943.0,64145.0,60552.0,63689.0,72.26778656126483,65.16106719367589,63.384387351778656,59.83399209486166,62.933794466403164
ars_Arab,Najdi Arabic,ars,Arab,1012.0,106452.0,45106.0,41113.0,37240.0,41026.0,105.18972332015811,44.57114624505929,40.62549407114624,36.798418972332016,40.5395256916996
ary_Arab,Moroccan Arabic,ary,Arab,1012.0,104156.0,46341.0,42777.0,39862.0,42300.0,102.9209486166008,45.791501976284586,42.269762845849804,39.38932806324111,41.798418972332016
arz_Arab,Egyptian Arabic,arz,Arab,1012.0,104659.0,44741.0,41127.0,37779.0,40002.0,103.41798418972331,44.2104743083004,40.63932806324111,37.33102766798419,39.527667984189726
asm_Beng,Assamese,asm,Beng,1012.0,190412.0,166225.0,161993.0,53545.0,55398.0,188.15415019762847,164.25395256916997,160.07213438735178,52.9100790513834,54.741106719367586
ast_Latn,Asturian,ast,Latn,1012.0,47206.0,42745.0,39108.0,38261.0,39853.0,46.64624505928854,42.23814229249012,38.644268774703555,37.80731225296443,39.380434782608695
awa_Deva,Awadhi,awa,Deva,1012.0,140334.0,68935.0,88256.0,45866.0,40849.0,138.6699604743083,68.11758893280633,87.2094861660079,45.32213438735178,40.36462450592885
ayr_Latn,Central Aymara,ayr,Latn,1012.0,64675.0,58440.0,55599.0,52125.0,55092.0,63.90810276679842,57.74703557312253,54.9397233201581,51.50691699604743,54.43873517786561
azb_Arab,South Azerbaijani,azb,Arab,1012.0,117202.0,52116.0,50006.0,49962.0,49106.0,115.81225296442688,51.49802371541502,49.41304347826087,49.369565217391305,48.523715415019765
azj_Latn,North Azerbaijani,azj,Latn,1012.0,82056.0,65680.0,61986.0,46080.0,55937.0,81.08300395256917,64.90118577075098,61.25098814229249,45.533596837944664,55.273715415019765
bak_Cyrl,Bashkir,bak,Cyrl,1012.0,91499.0,100074.0,83587.0,46911.0,63778.0,90.41403162055336,98.88735177865613,82.59584980237155,46.35474308300395,63.02173913043478
bam_Latn,Bambara,bam,Latn,1012.0,63017.0,68462.0,58553.0,54799.0,57523.0,62.269762845849804,67.6501976284585,57.858695652173914,54.14920948616601,56.84090909090909
ban_Latn,Balinese,ban,Latn,1012.0,56159.0,48179.0,42883.0,42283.0,43312.0,55.49308300395257,47.60770750988142,42.37450592885376,41.78162055335969,42.798418972332016
bel_Cyrl,Belarusian,bel,Cyrl,1012.0,74844.0,70096.0,65116.0,53364.0,59722.0,73.95652173913044,69.26482213438736,64.34387351778656,52.73122529644269,59.01383399209486
bem_Latn,Bemba,bem,Latn,1012.0,67688.0,59568.0,57127.0,52005.0,55899.0,66.88537549407114,58.86166007905138,56.44960474308301,51.38833992094862,55.23616600790514
ben_Beng,Bengali,ben,Beng,1012.0,166640.0,156464.0,151299.0,45613.0,33849.0,164.66403162055337,154.6086956521739,149.50494071146244,45.07213438735178,33.44762845849802
bho_Deva,Bhojpuri,bho,Deva,1012.0,140883.0,70647.0,88125.0,47636.0,43731.0,139.21245059288538,69.8092885375494,87.0800395256917,47.07114624505929,43.212450592885375
bjn_Arab,Banjar (Arabic script),bjn,Arab,1012.0,56009.0,46190.0,39952.0,38918.0,39323.0,55.344861660079054,45.64229249011858,39.47826086956522,38.45652173913044,38.85671936758893
bjn_Latn,Banjar (Latin script),bjn,Latn,1012.0,56009.0,46190.0,39952.0,38918.0,39323.0,55.344861660079054,45.64229249011858,39.47826086956522,38.45652173913044,38.85671936758893
bod_Tibt,Standard Tibetan,bod,Tibt,1012.0,206983.0,304943.0,241291.0,218532.0,100689.0,204.52865612648222,301.32707509881425,238.4298418972332,215.9407114624506,99.49505928853755
bos_Latn,Bosnian,bos,Latn,1012.0,53639.0,48918.0,47772.0,40323.0,41359.0,53.00296442687747,48.33794466403162,47.205533596837945,39.844861660079054,40.86857707509881
bug_Latn,Buginese,bug,Latn,1012.0,58843.0,52792.0,48772.0,46772.0,48674.0,58.14525691699605,52.16600790513834,48.19367588932806,46.21739130434783,48.09683794466403
bul_Cyrl,Bulgarian,bul,Cyrl,1012.0,56652.0,55394.0,49710.0,46066.0,44936.0,55.980237154150196,54.737154150197625,49.1205533596838,45.519762845849804,44.40316205533597
cat_Latn,Catalan,cat,Latn,1012.0,48162.0,46240.0,43693.0,39850.0,42874.0,47.59090909090909,45.691699604743086,43.17490118577075,39.37747035573123,42.365612648221344
ceb_Latn,Cebuano,ceb,Latn,1012.0,62337.0,51884.0,53504.0,45023.0,48994.0,61.59782608695652,51.26877470355731,52.869565217391305,44.48913043478261,48.41304347826087
ces_Latn,Czech,ces,Latn,1012.0,53797.0,40897.0,35632.0,42924.0,42372.0,53.15909090909091,40.41205533596838,35.209486166007906,42.41501976284585,41.869565217391305
cjk_Latn,Chokwe,cjk,Latn,1012.0,60085.0,52816.0,49749.0,46525.0,49018.0,59.37252964426877,52.1897233201581,49.15909090909091,45.973320158102766,48.43675889328063
ckb_Arab,Central Kurdish,ckb,Arab,1012.0,137950.0,107156.0,90296.0,74449.0,62529.0,136.31422924901185,105.88537549407114,89.22529644268775,73.56620553359684,61.787549407114625
crh_Latn,Crimean Tatar,crh,Latn,1012.0,67116.0,49644.0,47170.0,46302.0,48655.0,66.3201581027668,49.055335968379445,46.61067193675889,45.75296442687747,48.07806324110672
cym_Latn,Welsh,cym,Latn,1012.0,66376.0,57687.0,59433.0,46740.0,54702.0,65.58893280632411,57.00296442687747,58.72826086956522,46.18577075098814,54.05335968379447
dan_Latn,Danish,dan,Latn,1012.0,49151.0,44035.0,45760.0,37488.0,40125.0,48.56818181818182,43.512845849802375,45.21739130434783,37.04347826086956,39.64920948616601
deu_Latn,German,deu,Latn,1012.0,45279.0,43006.0,36584.0,35247.0,37033.0,44.74209486166008,42.49604743083004,36.1501976284585,34.82905138339921,36.59387351778656
dik_Latn,Southwestern Dinka,dik,Latn,1012.0,59475.0,59200.0,54685.0,50012.0,51996.0,58.769762845849804,58.49802371541502,54.03656126482213,49.41897233201581,51.3794466403162
dyu_Latn,Dyula,dyu,Latn,1012.0,60059.0,55135.0,52264.0,49940.0,51139.0,59.34683794466403,54.48122529644269,51.644268774703555,49.34782608695652,50.53260869565217
dzo_Tibt,Dzongkha,dzo,Tibt,1012.0,228260.0,331004.0,260412.0,242712.0,115136.0,225.55335968379447,327.0790513833992,257.32411067193675,239.83399209486166,113.7707509881423
ell_Grek,Greek,ell,Grek,1012.0,155265.0,60896.0,44014.0,57522.0,60343.0,153.42391304347825,60.17391304347826,43.49209486166008,56.8399209486166,59.62747035573123
eng_Latn,English,eng,Latn,1012.0,32425.0,27177.0,27967.0,26878.0,28127.0,32.040513833992094,26.854743083003953,27.635375494071145,26.559288537549406,27.793478260869566
epo_Latn,Esperanto,epo,Latn,1012.0,53026.0,50183.0,47205.0,41010.0,43401.0,52.39723320158103,49.58794466403162,46.64525691699605,40.523715415019765,42.88636363636363
